pair_id,field,value_a,value_b,relationship,confidence,notes
P110,ai_component,GPU/compute for AI/ML workloads,compute marketplace for AI/ML workloads,near_synonym,high,
P111,use_case,ERC-20 token on Ethereum,token on Ethereum,near_synonym,medium,
P112,ai_component,AI agent creation + deployment platform,AI agent creation/training/deployment platform,near_synonym,high,
P113,use_case,Face-NFT creation + trading,crypto intelligence for humans + AI agents,unrelated,high,
P114,use_case,AI inference marketplace + decentralized compute,inference marketplace,near_synonym,high,
P115,ai_component,AI agent marketplace + AI services,compute marketplace + AI agents + AI marketplace,related_but_distinct,medium,
P116,use_case,AI bot/tools for communities,bots/tools for communities,exact_synonym,high,
P117,use_case,building + optimizing teams of AI agents,decentralized AI inference/agents,unrelated,high,
P118,ai_component,AI assistant for communities,AI chat assistant for communities,exact_synonym,high,
P119,ai_component,LLM inference via a compute node network,voice-enabled AI agents,unrelated,high,
P120,ai_component,AI agent for trading actions,AI agents/bots for trading,exact_synonym,high,
P121,use_case,fortune readings + token/contract «energy»,token,unrelated,medium,
P122,use_case,memecoin + community products,memecoin / community token,related_but_distinct,medium,
P123,use_case,multichain token + DAO voting/staking,signals/games around bull/bear markets,unrelated,high,
P124,use_case,access to compute,access to compute + AI tools,near_synonym,high,
P125,ai_component,AI agent creation + launch platform,AI agent launch platform,near_synonym,high,
P126,ai_component,AI assistant/agents for DeFi operations,AI-assisted DeFi strategies/agents,near_synonym,medium,
P127,use_case,AI agent creation + deployment,AI agent creation + launch,near_synonym,high,
P128,ai_component,AI agents/bots for trading,AI bots + trading analytics,near_synonym,high,
P129,use_case,create/deploy tokenized AI agents,quantum-secure EVM-compatible L1,unrelated,high,
P130,ai_component,data for AI + agents,real-time data for AI agents,near_synonym,medium,
P131,use_case,DAO governance + ecosystem participation,run AI/ML workloads on a decentralized cloud,unrelated,high,
P132,use_case,personal AI assistants + skills,signal analytics + Telegram trading,unrelated,high,
P133,ai_component,AI assistant for communities,AI assistant for communities (NLP/knowledge graph),exact_synonym,high,
P134,ai_component,decentralized AI compute + marketplace,decentralized AI compute network,near_synonym,high,
P135,use_case,AI content creation,AI content creation + monetization,near_synonym,high,
