field,op,similarity,label_a,label_b,freq_a,freq_b
ai_component,E,0.942031,distributed computing for AI/ML,distributed deep learning / compute,2,1
ai_component,E,0.941851,AI assistant for communities (NLP/knowledge graph),AI chat assistant for communities,1,1
ai_component,E,0.941543,AI agent marketplace + AI services,compute marketplace + AI agents + AI marketplace,1,1
ai_component,E,0.941343,"positioning only (""AI"" analytics)",positioning only (AI toolkit),1,1
ai_component,E,0.940956,voice AI agents for phone calls,voice-enabled AI agents,1,1
ai_component,E,0.940744,positioning only (AI apps infrastructure),positioning only (AI toolkit),1,1
ai_component,E,0.940217,AI agent generation + launch,AI agent launch platform,1,1
ai_component,E,0.939647,AI data platform / AI agents,data for AI + agents,1,1
ai_component,E,0.939481,decentralized GPU cloud + data agent,decentralized GPU cloud for AI/ML workloads,1,2
ai_component,E,0.939394,"positioning only (""AI"" analytics)",positioning only (AI tools/community),1,1
ai_component,E,0.939371,AI assistant/agents for DeFi operations,NL assistant/agents for DeFi operations,1,1
ai_component,E,0.939186,positioning only (AI apps infrastructure),positioning only (AI tools/community),1,1
ai_component,E,0.938964,AI agents for on-chain DeFi,AI-assisted DeFi strategies/agents,1,1
ai_component,E,0.938940,LLM agent + tool calling,LLM agents + tool-based actions,1,1
ai_component,E,0.938905,AI agents marketplace,no-code AI agent marketplace,1,1
ai_component,E,0.938477,AI agent + model marketplace,compute marketplace + AI agents + AI marketplace,1,1
ai_component,E,0.938365,AI agent for token/wallet analysis,AI agents for crypto/finance,1,1
ai_component,E,0.938201,infrastructure for running autonomous AI agents,platform for autonomous AI agents,1,2
ai_component,E,0.938181,AI agent,autonomous AI agent,1,1
ai_component,E,0.937836,AI agents for on-chain DeFi,AI co-pilot for DeFi + on-chain actions,1,1
ai_component,E,0.937453,AI agent + model marketplace,decentralized AI agents marketplace,1,1
ai_component,E,0.937326,AI agents for analysis/automation,AI workflow agents for automation,1,2
ai_component,E,0.937120,dataset collection + improvement for AI training,dataset collection + labeling for AI,1,1
ai_component,E,0.937064,AI agents for Web3,AI agents for crypto/finance,2,1
ai_component,E,0.937056,"positioning only (""AI agents"")",positioning only (AI toolkit),1,1
ai_component,E,0.936938,AI agents for Web3,AI agents for on-chain DeFi,2,1
ai_component,E,0.936859,"positioning only (""AI agents"")",positioning only (AI tools/community),1,1
ai_component,E,0.936638,GPU marketplace for AI/ML workloads,GPU/compute for AI/ML workloads,1,3
ai_component,E,0.936487,AI agent platform (workflows/tools/KB),AI platform/tools,4,1
ai_component,E,0.936473,AI L2 for AI dApps,L2 for AI dApps (Parallel EVM + GPU network),1,1
ai_component,E,0.936341,AI agent creation + training (content/posting),AI agent creation/training/deployment platform,1,1
ai_component,E,0.936241,AI agent for Web3 questions + actions,AI agents for Web3 workflows (agentic wallet),1,1
ai_component,E,0.936192,AI direction in ecosystem,AI ecosystem,1,1
ai_component,E,0.936101,AI bots/tools,AI platform/tools,1,1
ai_component,E,0.935885,decentralized AI compute + marketplace,decentralized AI compute network,1,1
ai_component,E,0.935759,AI search + AI analytic summaries,AI search/analytics,1,1
ai_component,E,0.935740,AI agent marketplace + AI services,decentralized AI agents marketplace,1,1
