label,cluster,freq_class
RWA marketplace + DeFi + game,2,tail
crowd bandwidth → datasets for AI,-1,tail
RWA/AI narrative + token on Solana,-1,tail
reputation/points for allocations,-1,tail
Web3 analytics dashboards + alerts,-1,tail
buy/sell compute; deploy AI models,-1,tail
AI content creation + monetization,-1,tail
build apps + workflows + smart contracts,-1,tail
AI agents for Web3 interactions,-1,tail
trading insights + analytics,-1,tail
healthcare data + metaverse economy,-1,tail
DataDAOs for AI training on private data,-1,tail
create/deploy tokenized AI agents,-1,tail
agent ecosystem + token economy,-1,tail
LLM inference + distributed GPU nodes,-1,tail
rich product pages + content streaming,-1,tail
exploit mitigation (freeze + investigation),4,tail
data monetization + rewards,-1,tail
one-click AI agent launchpad,-1,tail
monetize datasets/models/agents with provenance,-1,tail
quests + engagement for communities,-1,tail
self-improving AI agents,4,tail
voice-driven workflow automation,-1,tail
"chat, agents, API, launching AI solutions",-1,tail
wellness missions + AI agents,-1,tail
on-chain coverage + DAO governance,-1,tail
DeFi token,-1,tail
Wasm smart contracts for general dApps,-1,tail
analytical reviews + research,-1,tail
programmatic advertising,-1,tail
token,-1,tail
risk scoring for addresses/pools,4,tail
task marketplace (AI workflows),2,tail
on-chain operations on Solana/Base,-1,tail
multichain AMM + launchpad + staking,-1,tail
portfolio/signals/autotrading,-1,tail
terminal/signals for tokens,-1,tail
Web3 gaming SDK/platform,0,tail
VR metaverse games + creation tools,-1,tail
"analysis/chat, trading tools",-1,tail
pricing NFTs/illiquid assets,4,tail
meme/social token,-1,tail
DeFi automation + agents,-1,tail
L2 for DePIN/AI dApps,-1,tail
NFT authenticity verification,-1,tail
oracle / prediction market resolution,-1,tail
trading + DeFi automation,-1,tail
pet community + NFTs + data marketplace,-1,tail
run confidential iApps/AI agents,-1,tail
measuring impact of KOL campaigns,4,tail
address scoring/analytics for Web3 UX,-1,tail
signals/games around bull/bear markets,4,tail
tokenized AI/DeFAI agent marketplace,-1,tail
token/community + web interface,-1,tail
wealth management + digital estate planning,-1,tail
yield farming automation via vault strategies,-1,tail
trading signal competition in a Bittensor subnet,-1,tail
on-chain DeFi + governance framework,-1,tail
"self-funding agents, on-chain transactions",-1,tail
verifiable reputation + distribution protocol,-1,tail
permissionless intelligent services + DeFi ops,-1,tail
DeFi strategy automation,-1,tail
football video analytics (GSR),-1,tail
tokenization + launching AI apps,-1,tail
memecoin + community products,-1,tail
GPU inference for AI apps,-1,tail
memecoin / token,-1,tail
OCR + VLM/LLM document parsing,4,tail
development task automation,-1,tail
AI summaries + token analysis,-1,tail
token/community; product link not established,-1,tail
GPU compute for protected workloads,-1,tail
build + run autonomous AI agents,-1,tail
curated visual content feed,-1,tail
design principles for autonomous agents,-1,tail
decentralized investment strategies,-1,tail
EVM network with post-quantum cryptography,-1,tail
incentives for subnet participation,-1,tail
GPU pod rental,-1,tail
AI agents + micropayments,-1,tail
AI governance automation + gasless execution,-1,tail
AutoML training tournaments,-1,tail
data annotation jobs + escrow payments,4,tail
generate 3D assets for creators,-1,tail
cook data for AI agents,-1,tail
moderation + analytics + assistant,-1,tail
rewards distribution to token holders,-1,tail
protein folding jobs + docking compute,4,tail
creator briefs + on-chain rewards,-1,tail
decentralized LLM pretraining on Bittensor,-1,tail
build + orchestrate AI agents,-1,tail
materials/guides for agents,4,tail
deepfake content detection,-1,tail
chat/agents for Web3,-1,tail
prediction layer / markets,-1,tail
allocation selection for silos,-1,tail
agents for Telegram / assistants,-1,tail
sports event outcome predictions,4,tail
brain activity tracking for focus/stress,4,tail
data structuring/labeling,-1,tail
social/dating (matching + chat),4,tail
data for apps + AI,-1,tail
access to AI services + integrations,-1,tail
semantic search / NLP embeddings,4,tail
L1 infrastructure,-1,tail
confidential A2A payments + encrypted compute,-1,tail
fresh datasets for ML/analytics/inference,-1,tail
execution + orchestration of AI-related tasks,-1,tail
strategy evaluation + ranking in a subnet,-1,tail
consumer app under the AI Waifu brand,4,tail
metaverse platform (influencers + brands),-1,tail
tokenized index/strategy with rebalancing,-1,tail
user-owned data + rewards for contributions,-1,tail
voice clone + model creation from data,-1,tail
deanonymization + on-chain intelligence,-1,tail
call + support automation,-1,tail
evaluation + incentives for roleplay LLMs in a subnet,-1,tail
PoW mining hashrate pool + incentives,-1,tail
deploy AI workloads on GPUs,-1,tail
distributed AI compute (training/inference),-1,tail
idle compute network for data processing,-1,tail
decentralized cloud compute/CDN,-1,tail
scalable validation/compute for validators,4,tail
self-sovereign data wallet + SSO + messaging,4,tail
jobs/freelance marketplace,2,tail
decentralized cloud + GPU marketplace,-1,tail
story generation for short video/film,-1,tail
deepfake clip creation (web/Telegram/API),4,tail
meme token + DeFi + NFT ecosystem,-1,tail
decentralized storage (S3-compatible) + data integrity,-1,tail
AI bots/agents for crypto + communities,-1,tail
meme token (NFTs/games/merch plans),-1,tail
AI content creation (mobile app),-1,tail
on-chain data/intelligence,-1,tail
trading automation,-1,tail
gaming products/NFTs,-1,tail
L1 for dApps (including AI apps),-1,tail
cybersecurity,4,tail
DeFi strategy automation + copy trading,-1,tail
autonomous agents for DeFi,-1,tail
AI persona/content creation,-1,tail
chatbots + content generation,1,tail
self-custodial options + perps exchange,4,tail
crypto market analytics + on-chain metrics,-1,tail
smart contracts for agreements,3,tail
data marketplace (genomics),2,tail
IoT data transactions,-1,tail
MLOps platform,0,tail
crypto search engine,-1,tail
distributed training,-1,tail
crypto analytics,-1,tail
on-chain inferences + prediction feeds,-1,tail
data labeling marketplace + dataset trading,-1,tail
decentralized RPC infrastructure,-1,tail
metaverse token,-1,tail
training + use of AI agents,-1,tail
DEX aggregation + routing,4,tail
3D/game platform + Web3,0,tail
PoW EVM L1,4,tail
AI agents marketplace,-1,tail
AI inference network,-1,tail
AI bot + PvP games,4,tail
GPU marketplace + AI model deployment,-1,tail
collateralized lending/borrowing,4,tail
private marketplace (medical/genomic data),2,tail
content generation via bot/interface,1,tail
token generation + deployment via AI,-1,tail
Telegram bot for on-chain operations (Solana),-1,tail
no-code contract generation,-1,tail
no-code Web3 app building,-1,tail
price feeds + report verification,-1,tail
SPL token,-1,tail
AI inference marketplace + decentralized compute,-1,tail
text-to-image generation + image enhancement,1,tail
connect AI agents/models + Web3 connectors,-1,tail
business automation + AI assistants,-1,tail
AI content generation + social media agents,1,tail
inference/RAG infrastructure for conversational AI,-1,tail
crypto analytics assistant with token-gated features,-1,tail
chatbot about Bittensor/crypto + project,4,tail
gamified Web3 security testing + AI detection tools,-1,tail
launch tokenized AI agents for on-chain services,-1,tail
"access to GPU/AI resources (rental, nodes, endpoints)",-1,tail
Telegram trading + alerts + monitoring,-1,tail
AI music project + token/NFT,4,tail
orchestration layer for AI/on-chain/off-chain processes,-1,tail
AI character/NFT creation + trading,-1,tail
meme ecosystem (NFTs/games/education),-1,tail
skills marketplace + twin vault,2,tail
game (PvP card game) + NFT collection,-1,tail
"create, launch + interact with AI agents",-1,tail
analysis/alerts/help with blockchain operations,-1,tail
meme generation for social media,-1,tail
launch AI personas + agent tokens,-1,tail
analytics for on-chain markets + wallets,-1,tail
relational L1 for dApp chains + fast queries,4,tail
community chat + content,-1,tail
AI agent token,-1,tail
security ops for protocols + bug bounty,-1,tail
investment recommendations + discussion,4,tail
ZK-verified SQL coprocessor for smart contracts,3,tail
tools + user assistance,-1,tail
no-code AI agent creation + launch,-1,tail
launch/catalog of AI agents + projects,-1,tail
create/license/use voices + agents,4,tail
Q&A/recommendations on longevity (info),4,tail
market analytics + automation,-1,tail
on-chain attribution + rewards for AI datasets,-1,tail
ESG data + trading insights,-1,tail
meme community token (Solana),-1,tail
mental health (chat support + community),-1,tail
trader assistant + on-chain analytics,-1,tail
market analysis + trading automation,-1,tail
DePIN (Q&A + community content),-1,tail
run models in the browser,4,tail
agentic OS for open web + crypto,-1,tail
Solana (token analysis + risk signals),-1,tail
sports (match predictions + content),-1,tail
token deployment + creator rewards via LP fees,-1,tail
"on-chain assistant (swaps, NFTs, games)",-1,tail
on-chain verification of AI agent quality,-1,tail
on-chain price feeds + randomness oracles,4,tail
memecoin / community token,-1,tail
memecoin + interactive Coin Hunt,-1,tail
launch + manage AI agents,-1,tail
chart analysis + wallet tracking,-1,tail
LLM context reduction,4,tail
model selection/launch + verifiable inference,-1,tail
human data labeling + validation for AI,-1,tail
ranking/heatmap for traders,4,tail
development/testing of AI agents + demo chat,-1,tail
on-chain execution of trading/DeFi strategies,-1,tail
L2 network for transactions/dApps + asset tokenization,-1,tail
DAO coordination + governance via staking,-1,tail
blockchain indexing + query answering,-1,tail
publish + access content via protocol,-1,tail
alerts/signals + educational materials,4,tail
analytical indicators/signals from forecasts,-1,tail
business deals + public distributed DB (Ties.DB),-1,tail
AI trading terminal + no-code agent builder,-1,tail
development/contributions (bounties),-1,tail
data storage + access management,-1,tail
blockchain platform/network,-1,tail
health metrics analysis + recommendations,-1,tail
blockchain service layer for dApps,-1,tail
distributed-node execution of AI tasks,-1,tail
data protocol (Scry Data Protocol),-1,tail
rewards for consented data sharing,-1,tail
decentralized advertising ecosystem + digital advertising terminal,-1,tail
confidential AI cloud + CVM attestation,-1,tail
lead exchange in a network/platform,0,tail
advertising/content tasks,-1,tail
verifiable credentials + digital ID,-1,tail
telemedicine + online consultations,4,tail
blockchain infrastructure,-1,tail
AI avatars + virtual assistant,-1,tail
data storage infrastructure,-1,tail
market intelligence terminal + AI agent,-1,tail
secure location services (proof-of-location),-1,tail
DAO co-ownership + commercialization of tech solutions,4,tail
data/signal collection for ML models,-1,tail
omnichain storage + DA/Blob services,-1,tail
platform utility token (exchange),0,tail
ML analytics + forecasting tools,-1,tail
support automation + community economy,-1,tail
index-building protocol + index tokens,-1,tail
AI agents for gaming/trading/dApps,-1,tail
user-owned social data + microtransactions,-1,tail
IoT data marketplace,-1,tail
market insights + alerts (traders + investors),-1,tail
trust/reputation + recommendations for marketplaces/services,-1,tail
TEE coprocessor (CVMs + serverless),4,tail
compute infrastructure (positioning only),-1,tail
L3 blockchain for logistics,-1,tail
AI services for Web3 users,-1,tail
AI platform + community resources,-1,tail
data collection/processing for AI insights,-1,tail
DeFi buy/trade/earn platform,0,tail
eClinical software + services for clinical trials,-1,tail
brand intelligence/marketing in Web3,-1,tail
tools/services around BNB Smart Chain,-1,tail
airdrops + lottery + NFT collectibles,4,tail
digital health platform + telemedicine,0,tail
agent hub + agentic video studio,4,tail
DeFi protocol,-1,tail
NFT + digital art + token utility,-1,tail
trading terminal + bots/automation,-1,tail
DEX/trading + AI assistant,-1,tail
metaverse/games + mobile wallet,-1,tail
DEX token screening + analytics,-1,tail
AI training + verifiable credentials,-1,tail
AI bot/tools for communities,-1,tail
content generation from prompts,1,tail
dataset trading (buy/sell),-1,tail
AI agents launch + crypto assistant,-1,tail
swap/dyor/news via chat,4,tail
bots/tools for communities,-1,tail
decentralized GPU compute,-1,tail
text/content generation,1,tail
community/products,-1,tail
AI assistant + dev API for Web3,-1,tail
programmable IP + licensing,-1,tail
access to strategies + DeFi vaults,-1,tail
AI content creation,-1,tail
AI agent competitions + staking-based rankings,-1,tail
AI services/APIs,-1,tail
help with Web3 operations/navigation,-1,tail
community engagement triggers + rewards,-1,tail
circuits + smart contracts (UTXO-style),3,tail
signal/activity monitoring tools,-1,tail
signal analytics + Telegram trading,-1,tail
content generation + digital assets,-1,tail
grants + development funding,-1,tail
smart contract deployment via bot/web app,-1,tail
trustless verification of AI outputs/actions,-1,tail
unified interface to multiple AI models,-1,tail
AI inference/API + generation tools,-1,tail
DAO governance + ecosystem participation,-1,tail
program/algorithm synthesis from text,4,tail
transaction mixing/privacy,-1,tail
visual content generation,1,tail
Q&A + smart contract checking,3,tail
authentication + tracking ownership of art objects,-1,tail
P2E gaming ecosystem + token-gated sinks,-1,tail
buyback/burn protocol for BEP-20,-1,tail
on-chain token swaps + liquidity,-1,tail
protocol/network for incentive-driven coordination of decentralized AI Modules,-1,tail
multichain AMM DEX + launchpad,-1,tail
AI website creation (bot + dApp + tools),-1,tail
unification of AI platforms + tokenomics,-1,tail
AI infrastructure + services (NetGPU/NetCloud/NetVPN),-1,tail
AI-assisted DeFi swap execution/protection,-1,tail
on-chain transactions between AI agents,-1,tail
AI-assisted trading + tokenized DeFi portfolios (vaults),-1,tail
L1 for on-chain financial apps,-1,tail
entertainment bot for communities,-1,tail
quick project screening,4,tail
eCommerce/payments tools,-1,tail
interoperability for game assets/NFTs,-1,tail
care coordination + prevention,-1,tail
private AI dialogues + on-chain governance,-1,tail
trading operations automation,-1,tail
swaps/bridges/deployments via natural language,-1,tail
scalable discussions / knowledge economy,-1,tail
autonomous on-chain execution for agents,-1,tail
discover + execute DeFi strategies,-1,tail
AI agent/bot creation + management,-1,tail
quantum-secure EVM-compatible L1,4,tail
verifiable fact-checking → on-chain triggers,-1,tail
on-chain market research + monitoring,-1,tail
launch + deploy AI agents (Telegram/integrations),-1,tail
Solana token + wallet analysis,-1,tail
holder/wallet analytics + alerts,-1,tail
assistants for Web3,-1,tail
utility token for AI/GameFi ecosystem,-1,tail
personalized beauty assistant,-1,tail
deploy + trade tokenized AI agents,-1,tail
automated blockchain node deployment + infra services,-1,tail
"testing/training AI agents in a ""social environment""",-1,tail
build + deploy + monitor AI agents,-1,tail
no-code creation of AI agents/chatbots (Godfather AI) + community/token,-1,tail
token creation + trend signals,-1,tail
AI agents + LLM app tooling,-1,tail
"interactive terminal interface/""CROW Terminal"" + AI component (details unknown)",-1,tail
crypto taxes + reconciliation,-1,tail
access to AI modules + compute,-1,tail
workforce coordination + credential verification,-1,tail
create/train/monetize AI agents + iNFTs,-1,tail
chat/API for AI answers,4,tail
AI assistant for swaps/portfolios in DeFi (Solana),-1,tail
no-code AI agents,-1,tail
AI community meme token,-1,tail
3D asset creation + animation,-1,tail
private messenger on Matrix,-1,tail
"mind mapping + ""insights""",4,tail
query + build multichain datasets,-1,tail
GPU rental + running nodes/devices,-1,tail
token + AI tools,-1,tail
unified wallet + agent interface,-1,tail
create/launch AI agents + chats,-1,tail
distributed edge training/inference,-1,tail
market for useful ML/AI work + compute,-1,tail
token/contract checks/audits,-1,tail
intent-based execution + swaps (single/cross-chain),-1,tail
train/validate models with incentives,-1,tail
AI assistant + tools for crypto asset analysis/management,-1,tail
social layer/community,-1,tail
exchange + on/off-ramp via chat,4,tail
access to compute,-1,tail
AI insights + risk assessment,-1,tail
infrastructure for persistent AI agents,-1,tail
payments/subscriptions in Web3,4,tail
tokenized instrument,-1,tail
crypto intelligence for humans + AI agents,-1,tail
agent interface for Web3 actions,-1,tail
decentralized compute on smartphones,-1,tail
on-chain visual creation + attribution/revenue sharing,-1,tail
engagement + token economy management,-1,tail
agent creation/management + tokenization/DAO governance,-1,tail
agent-native token launches on Base + launch fee economics,-1,tail
social network + API for AI agents,-1,tail
on-chain game (king-of-the-hill),4,tail
AI management of DeFi operations/strategies via smart-contract wallet,-1,tail
programmable compliance for on-chain execution,-1,tail
private compute/storage for sensitive data,-1,tail
art/IP RWA tokenization + incentive economy,-1,tail
decentralized environmental data network,-1,tail
AI founder suite for crypto startups,-1,tail
video/image generation + video agents,-1,tail
launch app-specific L1 (chainlets) with shared security,4,tail
AI file sharing + creator tools,-1,tail
virtual companion gaming,4,tail
DeFi execution copilot + widget/SDK,-1,tail
